2021-06-29 14:06:420 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 14:06:486 INFO  HomePage :28 - Clicking on Computer link[[ChromeDriver: chrome on WINDOWS (fcb8594485889db71e79501ce99494e5)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2021-06-29 14:06:551 INFO  ComputerPage :23 - Navigate to computer page and verify navigated page welcome text [[ChromeDriver: chrome on WINDOWS (fcb8594485889db71e79501ce99494e5)] -> xpath: //h1[contains(text(),'Computers')]]
2021-06-29 15:06:93 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 15:06:441 INFO  HomePage :39 - mouse hoover on computer tab[[ChromeDriver: chrome on WINDOWS (d8ca5ead22fda1822d8054fae50b186f)] -> xpath: //ul[@class='top-menu notmobile']//a[@href='/computers']]
2021-06-29 15:06:395 INFO  HomePage :44 - mouse hoover and click on desktoplink[[ChromeDriver: chrome on WINDOWS (d8ca5ead22fda1822d8054fae50b186f)] -> xpath: //a[contains(text(),'Desktops')]]
2021-06-29 15:06:853 INFO  DesktopPage :45 - Enter the value 6to select filter A To Z[[ChromeDriver: chrome on WINDOWS (d8ca5ead22fda1822d8054fae50b186f)] -> id: products-orderby]
2021-06-29 15:06:577 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 15:06:458 INFO  HomePage :39 - mouse hoover on computer tab[[ChromeDriver: chrome on WINDOWS (467589648ecee6bede0031d31579a1e1)] -> xpath: //ul[@class='top-menu notmobile']//a[@href='/computers']]
2021-06-29 15:06:585 INFO  HomePage :44 - mouse hoover and click on desktoplink[[ChromeDriver: chrome on WINDOWS (467589648ecee6bede0031d31579a1e1)] -> xpath: //a[contains(text(),'Desktops')]]
2021-06-29 15:06:878 INFO  DesktopPage :45 - Enter the value 5to select filter A To Z[[ChromeDriver: chrome on WINDOWS (467589648ecee6bede0031d31579a1e1)] -> id: products-orderby]
2021-06-30 14:06:54 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-30 14:06:568 INFO  HomePage :39 - mouse hoover on computer tab[[ChromeDriver: chrome on WINDOWS (7d58d9984b1a990162350ec6c0ade86d)] -> xpath: //ul[@class='top-menu notmobile']//a[@href='/computers']]
2021-06-30 14:06:460 INFO  HomePage :44 - mouse hoover and click on desktoplink[[ChromeDriver: chrome on WINDOWS (7d58d9984b1a990162350ec6c0ade86d)] -> xpath: //a[contains(text(),'Desktops')]]
2021-06-30 14:06:993 INFO  DesktopPage :46 - Enter the value 5to select filter A To Z[[ChromeDriver: chrome on WINDOWS (7d58d9984b1a990162350ec6c0ade86d)] -> id: products-orderby]
2021-06-30 20:06:716 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-30 20:06:148 INFO  HomePage :39 - mouse hoover on computer tab[[ChromeDriver: chrome on WINDOWS (de162ba0b0e9ba2da6b0fba51088f53c)] -> xpath: //ul[@class='top-menu notmobile']//a[@href='/computers']]
2021-06-30 20:06:686 INFO  HomePage :44 - mouse hoover and click on desktoplink[[ChromeDriver: chrome on WINDOWS (de162ba0b0e9ba2da6b0fba51088f53c)] -> xpath: //a[contains(text(),'Desktops')]]
2021-06-30 20:06:256 INFO  DesktopPage :47 - Enter the value 5to select filter A To Z[[ChromeDriver: chrome on WINDOWS (de162ba0b0e9ba2da6b0fba51088f53c)] -> id: products-orderby]
2021-06-30 20:06:924 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-30 20:06:78 INFO  HomePage :39 - mouse hoover on computer tab[[ChromeDriver: chrome on WINDOWS (ee96f6d07975431d02fae9fae00ac46c)] -> xpath: //ul[@class='top-menu notmobile']//a[@href='/computers']]
2021-06-30 20:06:997 INFO  HomePage :44 - mouse hoover and click on desktoplink[[ChromeDriver: chrome on WINDOWS (ee96f6d07975431d02fae9fae00ac46c)] -> xpath: //a[contains(text(),'Desktops')]]
2021-06-30 20:06:424 INFO  DesktopPage :47 - Enter the value 5to select filter A To Z[[ChromeDriver: chrome on WINDOWS (ee96f6d07975431d02fae9fae00ac46c)] -> id: products-orderby]
2021-06-30 20:06:391 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-30 20:06:953 INFO  HomePage :39 - mouse hoover on computer tab[[ChromeDriver: chrome on WINDOWS (41008ea9a44310fcae7fca4bb6df10c0)] -> xpath: //ul[@class='top-menu notmobile']//a[@href='/computers']]
2021-06-30 20:06:779 INFO  HomePage :44 - mouse hoover and click on desktoplink[[ChromeDriver: chrome on WINDOWS (41008ea9a44310fcae7fca4bb6df10c0)] -> xpath: //a[contains(text(),'Desktops')]]
2021-06-30 20:06:811 INFO  DesktopPage :46 - Enter the value 5to select filter A To Z[[ChromeDriver: chrome on WINDOWS (41008ea9a44310fcae7fca4bb6df10c0)] -> id: products-orderby]
2021-06-30 20:06:675 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-30 20:06:544 INFO  HomePage :39 - mouse hoover on computer tab[[ChromeDriver: chrome on WINDOWS (8ca0ef4ae03bc96156a7eea6f9006f52)] -> xpath: //ul[@class='top-menu notmobile']//a[@href='/computers']]
2021-06-30 20:06:515 INFO  HomePage :44 - mouse hoover and click on desktoplink[[ChromeDriver: chrome on WINDOWS (8ca0ef4ae03bc96156a7eea6f9006f52)] -> xpath: //a[contains(text(),'Desktops')]]
2021-06-30 20:06:554 INFO  DesktopPage :46 - Enter the value 5to select filter A To Z[[ChromeDriver: chrome on WINDOWS (8ca0ef4ae03bc96156a7eea6f9006f52)] -> id: products-orderby]
2021-06-30 20:06:999 INFO  DesktopPage :53 - Click on Add to Cart Button [[ChromeDriver: chrome on WINDOWS (8ca0ef4ae03bc96156a7eea6f9006f52)] -> xpath: //button[@onclick='return AjaxCart.addproducttocart_catalog("/addproducttocart/catalog/1/1/1"),!1']]
2021-06-30 20:06:680 INFO  BuildYourOwnComputer :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (8ca0ef4ae03bc96156a7eea6f9006f52)] -> xpath: //h1[contains(text(),'Build your own computer')]]
2021-06-30 20:06:118 INFO  BuildYourOwnComputer :51 - Enter the value 1 To Select The Processor [[ChromeDriver: chrome on WINDOWS (8ca0ef4ae03bc96156a7eea6f9006f52)] -> xpath: //dd[@id='product_attribute_input_1']//select[@id='product_attribute_1']]
2021-06-30 20:06:504 INFO  BuildYourOwnComputer :56 - Enter the value 5To select the Ram [[ChromeDriver: chrome on WINDOWS (8ca0ef4ae03bc96156a7eea6f9006f52)] -> xpath: //dd[@id='product_attribute_input_2']//select[@id='product_attribute_2']]
2021-06-30 20:06:702 INFO  BuildYourOwnComputer :61 - Click on size of HDD [[ChromeDriver: chrome on WINDOWS (8ca0ef4ae03bc96156a7eea6f9006f52)] -> xpath: //ul[@class='option-list']/li[@data-attr-value='7']/input[@id='product_attribute_3_7']]
2021-06-30 20:06:955 INFO  BuildYourOwnComputer :66 - Click on OS : [[ChromeDriver: chrome on WINDOWS (8ca0ef4ae03bc96156a7eea6f9006f52)] -> xpath: //li[@data-attr-value='9']/input[@id='product_attribute_4_9']]
2021-06-30 20:06:199 INFO  BuildYourOwnComputer :71 - Select on Software : [[ChromeDriver: chrome on WINDOWS (8ca0ef4ae03bc96156a7eea6f9006f52)] -> xpath: //li[@data-attr-value='12']//input[@id='product_attribute_5_12']]
2021-06-30 20:06:234 INFO  BuildYourOwnComputer :75 - Getting Text from :[[ChromeDriver: chrome on WINDOWS (8ca0ef4ae03bc96156a7eea6f9006f52)] -> xpath: //div[@class='product-price']/span[@id='price-value-1']]
2021-06-30 20:06:773 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-30 20:06:04 INFO  HomePage :39 - mouse hoover on computer tab[[ChromeDriver: chrome on WINDOWS (c38d68c1f703d41a3e03c2b0c3b31f08)] -> xpath: //ul[@class='top-menu notmobile']//a[@href='/computers']]
2021-06-30 20:06:646 INFO  HomePage :44 - mouse hoover and click on desktoplink[[ChromeDriver: chrome on WINDOWS (c38d68c1f703d41a3e03c2b0c3b31f08)] -> xpath: //a[contains(text(),'Desktops')]]
2021-06-30 20:06:682 INFO  DesktopPage :46 - Enter the value 5to select filter A To Z[[ChromeDriver: chrome on WINDOWS (c38d68c1f703d41a3e03c2b0c3b31f08)] -> id: products-orderby]
2021-06-30 20:06:58 INFO  DesktopPage :53 - Click on Add to Cart Button [[ChromeDriver: chrome on WINDOWS (c38d68c1f703d41a3e03c2b0c3b31f08)] -> xpath: //button[@onclick='return AjaxCart.addproducttocart_catalog("/addproducttocart/catalog/1/1/1"),!1']]
2021-06-30 20:06:186 INFO  BuildYourOwnComputer :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (c38d68c1f703d41a3e03c2b0c3b31f08)] -> xpath: //h1[contains(text(),'Build your own computer')]]
2021-06-30 20:06:484 INFO  BuildYourOwnComputer :51 - Enter the value 1 To Select The Processor [[ChromeDriver: chrome on WINDOWS (c38d68c1f703d41a3e03c2b0c3b31f08)] -> xpath: //dd[@id='product_attribute_input_1']//select[@id='product_attribute_1']]
2021-06-30 20:06:817 INFO  BuildYourOwnComputer :56 - Enter the value 5To select the Ram [[ChromeDriver: chrome on WINDOWS (c38d68c1f703d41a3e03c2b0c3b31f08)] -> xpath: //dd[@id='product_attribute_input_2']//select[@id='product_attribute_2']]
2021-06-30 20:06:139 INFO  BuildYourOwnComputer :61 - Click on size of HDD [[ChromeDriver: chrome on WINDOWS (c38d68c1f703d41a3e03c2b0c3b31f08)] -> xpath: //ul[@class='option-list']/li[@data-attr-value='7']/input[@id='product_attribute_3_7']]
2021-06-30 20:06:294 INFO  BuildYourOwnComputer :66 - Click on OS : [[ChromeDriver: chrome on WINDOWS (c38d68c1f703d41a3e03c2b0c3b31f08)] -> xpath: //li[@data-attr-value='9']/input[@id='product_attribute_4_9']]
2021-06-30 20:06:469 INFO  BuildYourOwnComputer :71 - Select on Software : [[ChromeDriver: chrome on WINDOWS (c38d68c1f703d41a3e03c2b0c3b31f08)] -> xpath: //li[@data-attr-value='12']//input[@id='product_attribute_5_12']]
2021-06-30 20:06:522 INFO  BuildYourOwnComputer :76 - Getting Text from :[[ChromeDriver: chrome on WINDOWS (c38d68c1f703d41a3e03c2b0c3b31f08)] -> xpath: //div[@class='product-price']/span[@id='price-value-1']]
2021-06-30 20:06:738 INFO  BuildYourOwnComputer :82 - Click on Add to Cart Button : [[ChromeDriver: chrome on WINDOWS (c38d68c1f703d41a3e03c2b0c3b31f08)] -> xpath: //div[@class='add-to-cart-panel']/button[@id='add-to-cart-button-1']]
2021-06-30 20:06:794 INFO  BuildYourOwnComputer :88 - Getting message on Green pop Bar :[[ChromeDriver: chrome on WINDOWS (c38d68c1f703d41a3e03c2b0c3b31f08)] -> xpath: //body/div[@id='bar-notification']/div[1]/p[1]]
2021-06-30 20:06:958 INFO  BuildYourOwnComputer :94 - Click on Green bar [[ChromeDriver: chrome on WINDOWS (c38d68c1f703d41a3e03c2b0c3b31f08)] -> xpath: //span[@title='Close']]
